person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_age,log_person_income
OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,3.044522437723423,9.169518377455928
MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,3.2188758248682006,9.169518377455928
RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,3.1354942159291497,11.089805421623343
RENT,8.0,MEDICAL,C,35000,14.27,1,0.6433823529411765,Y,4,3.1780538303479458,10.904119432844034
OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,3.044522437723423,9.20029003612268
RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,3.258096538021482,11.25285855955142
RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,3.1780538303479458,11.276646014262878
RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,3.1780538303479458,11.326595886778735
RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,3.091042453358316,11.350406535472453
OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,3.044522437723423,9.210340371976184
RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,3.1354942159291497,11.461632170582678
RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,3.258096538021482,11.591366891276792
RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,3.1354942159291497,11.652687407345388
MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,3.1354942159291497,13.122363377404328
RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,3.1354942159291497,11.695247021764184
RENT,7.0,MEDICAL,F,35000,20.25,1,0.3799763329026935,N,4,3.1354942159291497,11.430749650507867
MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,3.1780538303479458,9.287301413112312
RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,3.2188758248682006,11.998433280751929
RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,3.2188758248682006,11.827736204810263
RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,3.091042453358316,11.082142548877775
OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,3.1780538303479458,9.30383071506352
RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,3.091042453358316,11.289781913656018
RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,3.1780538303479458,11.123520696408578
MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,3.044522437723423,9.305650551780507
OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,3.1354942159291497,9.305650551780507
RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,3.1780538303479458,11.082142548877775
OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,3.044522437723423,9.340403256274351
OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,3.044522437723423,9.351839934249883
RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,3.2188758248682006,11.695247021764184
RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,3.258096538021482,11.461632170582678
RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,3.2188758248682006,12.631340380934517
MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,3.258096538021482,12.611537753638338
OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,3.044522437723423,9.392661928770137
RENT,1.0,EDUCATION,E,30000,18.39,1,0.625,N,2,3.091042453358316,10.778956289890028
RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,3.1780538303479458,11.06663836234181
RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,3.2188758248682006,11.225243392518447
RENT,3.0,DEBTCONSOLIDATION,D,30000,10.995555082490686,1,0.42,N,4,3.1354942159291497,11.177452728682098
RENT,6.0,MEDICAL,E,30000,17.99,1,0.48348106365834,N,2,3.258096538021482,11.035695790632753
OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,3.1780538303479458,9.392661928770137
MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,3.258096538021482,12.611537753638338
OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,3.1354942159291497,12.611537753638338
OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,3.258096538021482,12.611537753638338
MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,3.258096538021482,12.611537753638338
MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,3.2188758248682006,12.611537753638338
RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,3.258096538021482,11.298369930842552
RENT,4.0,MEDICAL,B,30000,12.69,1,0.4524886877828054,N,3,3.091042453358316,11.101945176173954
RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,3.258096538021482,11.396706205977527
RENT,4.0,DEBTCONSOLIDATION,D,30000,10.995555082490686,1,0.38,Y,4,3.1780538303479458,11.26446410567173
RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,3.1354942159291497,11.26446410567173
RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,3.1354942159291497,11.429587333346895
RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,3.1354942159291497,11.48246625748552
RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,3.2188758248682006,11.695247021764184
RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,3.258096538021482,12.542544882151386
RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,3.258096538021482,12.532148165968824
OWN,3.0,PERSONAL,A,35000,10.995555082490686,0,0.13,N,4,3.1354942159291497,12.531772785169476
RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,3.2188758248682006,11.759785542901755
OWN,2.0,VENTURE,E,1750,10.995555082490686,0,0.15,Y,3,3.1780538303479458,9.392661928770137
RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,3.044522437723423,11.782952602183288
OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,3.091042453358316,12.524526376648708
