person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income
OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,9.169518377455928
MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,9.169518377455928
RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,11.089805421623344
RENT,8.0,MEDICAL,C,35000,14.27,1,0.6433823529411765,Y,4,10.904119432844034
OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9.20029003612268
RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,11.25285855955142
RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,11.276646014262878
RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,11.326595886778737
RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,11.350406535472452
OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,9.210340371976184
RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,11.461632170582678
RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,11.591366891276792
RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,11.652687407345388
MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,13.122363377404328
RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,11.695247021764184
RENT,7.0,MEDICAL,F,35000,20.25,1,0.3799763329026935,N,4,11.430749650507869
MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,9.287301413112312
RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,11.998433280751929
RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,11.827736204810265
RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,11.082142548877776
OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,9.30383071506352
RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,11.289781913656018
RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,11.123520696408578
MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,9.305650551780507
OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,9.305650551780507
RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,11.082142548877776
OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,9.340403256274351
OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,9.351839934249885
RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,11.695247021764184
RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,11.461632170582678
